database,therapeutic_area,med_class,code,term,combo_flag,component_drugs
GOLD,bp,bp_medication,15577,HYDROCHLOROTHIAZIDE 12.5MG/K 8.1MMOL S/R 12.5 MG TAB,0,
GOLD,bp,bp_medication,15602,NATRILIX 5 MG TAB,0,
GOLD,bp,bp_medication,15605,cilazapril 250micrograms tablets,0,
GOLD,bp,bp_medication,15619,Half-betadur cr 80mg Capsule (Monmouth Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,15652,Mibefradil 50mg Tablet,0,
GOLD,bp,bp_medication,15659,DILTIAZEM HCL S/R 180 CAP,0,
GOLD,bp,bp_medication,15715,Genalat retard 20mg Modified-release tablet (Wyeth Pharmaceuticals),0,
GOLD,bp,bp_medication,1572,sotalol 80mg tablets,0,
GOLD,bp,bp_medication,15730,Totamol 100mg Tablet (C P Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,15958,Captopril 2mg tablets,0,
GOLD,bp,bp_medication,1597,Labetalol 100mg tablets,0,
GOLD,bp,bp_medication,16038,Dilzem SR 120 capsules (Teva UK Ltd),0,
GOLD,bp,bp_medication,16060,Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets,0,
GOLD,bp,bp_medication,16073,Nifedipress MR 10 tablets (Teva UK Ltd),0,
GOLD,bp,bp_medication,16161,Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets,0,
GOLD,bp,bp_medication,16162,Amlodipine 5mg/5ml oral suspension,0,
GOLD,bp,bp_medication,16196,Vascace 5mg tablets (Roche Products Ltd),0,
GOLD,bp,bp_medication,16197,Vascace 2.5mg tablets (Roche Products Ltd),0,
GOLD,bp,bp_medication,16201,Hytrin bph 2mg Tablet (Amdipharm Plc),0,
GOLD,bp,bp_medication,16212,Vascace 1mg tablets (Roche Products Ltd),0,
GOLD,bp,bp_medication,16285,Teveten 400mg tablets (Abbott Healthcare Products Ltd),0,
GOLD,bp,bp_medication,16371,Teveten 600mg tablets (Mylan Ltd),0,
GOLD,bp,bp_medication,16498,Kalspare tablets (DHP Healthcare Ltd),0,
GOLD,bp,bp_medication,16632,Hydrosaluric 50mg tablets (Merck Sharp & Dohme Ltd),0,
GOLD,bp,bp_medication,16645,Labrocol 400mg Tablet (Lagap),0,
GOLD,bp,bp_medication,16669,LOPRESOR SR 200 MG TAB,0,
GOLD,bp,bp_medication,16701,Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,16708,Enalapril titration pack,0,
GOLD,bp,bp_medication,16710,Gopten 500microgram capsules (Abbott Laboratories Ltd),0,
GOLD,bp,bp_medication,16776,Celectol 400mg Tablet (Pantheon Healthcare Ltd),0,
GOLD,bp,bp_medication,16786,Chlortalidone 25mg with Atenolol 100mg tablets,0,
GOLD,bp,bp_medication,1684,Beta-Adalat modified-release capsules (Bayer Plc),0,
GOLD,bp,bp_medication,16850,Angiozem CR 120mg tablets (Ashbourne Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,1686,Diltiazem 90mg modified-release capsules,0,
GOLD,bp,bp_medication,16924,Imidapril 5mg tablets,0,
GOLD,bp,bp_medication,17006,Triapin 5mg/5mg modified-release tablets (Sanofi),0,
GOLD,bp,bp_medication,17082,Syprol 5mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,17120,Moexipril 15mg tablets,0,
GOLD,bp,bp_medication,17122,Isoprenaline hydrochloride 200micrograms/1ml solution for injection ampoules,0,
GOLD,bp,bp_medication,17143,Mefruside 25mg Tablet,0,
GOLD,bp,bp_medication,17149,Monozide 10 tablets (Wyeth Pharmaceuticals),0,
GOLD,bp,bp_medication,17252,Esidrex 25mg Tablet (Novartis Pharmaceuticals UK Ltd),0,
GOLD,bp,bp_medication,17322,Atenix 25 tablets (Ashbourne Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,17325,Cardilate MR 10mg tablets (Teva UK Ltd),0,
GOLD,bp,bp_medication,17338,Nifedotard 20 mr 20mg Modified-release tablet (Galen Ltd),0,
GOLD,bp,bp_medication,17342,Nivaten retard 10mg Modified-release tablet (Actavis UK Ltd),0,
GOLD,bp,bp_medication,17406,Zemtard 180 XL capsules (Galen Ltd),0,
GOLD,bp,bp_medication,17425,Zemtard 120 XL capsules (Galen Ltd),0,
GOLD,bp,bp_medication,17448,Nifedipress mr 10mg Modified-release tablet (Sterwin Medicines),0,
GOLD,bp,bp_medication,17462,Bisoprolol 10mg / Hydrochlorothiazide 6.25mg tablets,0,
GOLD,bp,bp_medication,17474,Felodipine 5mg modified-release / Ramipril 5mg tablets,0,
GOLD,bp,bp_medication,17492,Zemtard 300 XL capsules (Galen Ltd),0,
GOLD,bp,bp_medication,17545,Micardis 80mg tablets (Boehringer Ingelheim Ltd),0,
GOLD,bp,bp_medication,17557,Felotens XL 5mg tablets (Genus Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,17561,Bendroflumethiazide 2.5mg / Potassium chloride 573mg (potassium 7.7mmol) modified-release tablets,0,
GOLD,bp,bp_medication,17566,Felotens XL 10mg tablets (Genus Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,17586,Slozem 300mg capsules (Merck Serono Ltd),0,
GOLD,bp,bp_medication,17615,Cardicor 5mg tablets (Merck Serono Ltd),0,
GOLD,bp,bp_medication,17624,Captopril 5mg/5ml oral suspension,0,
GOLD,bp,bp_medication,17633,Captopril 3mg/5ml oral solution,0,
GOLD,bp,bp_medication,17640,Amlostin 5mg tablets (Discovery Pharmaceuticals),0,
GOLD,bp,bp_medication,17655,Carace 10 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,17666,Viazem XL 180mg capsules (Thornton & Ross Ltd),0,
GOLD,bp,bp_medication,17679,sotalol 10mg/ml injection,0,
GOLD,bp,bp_medication,17686,Micardis 20mg tablets (Boehringer Ingelheim Ltd),0,
GOLD,bp,bp_medication,17689,MicardisPlus 80mg/12.5mg tablets (Boehringer Ingelheim Ltd),0,
GOLD,bp,bp_medication,17720,Saluric 500mg Tablet (Merck Sharp & Dohme Ltd),0,
GOLD,bp,bp_medication,17783,Spiroprop Tablet (Pharmacia Ltd),0,
GOLD,bp,bp_medication,1780,Losartan 50mg tablets,0,
GOLD,bp,bp_medication,17876,METOPROLOL FUMARATE 190 MG TAB,0,
GOLD,bp,bp_medication,1788,Atenolol 100mg with Chlortalidone 25mg tablets,0,
GOLD,bp,bp_medication,17902,Spirolone 100mg Tablet (Berk Pharmaceuticals Ltd),0,
